split,partition,n_votes,n_posts,n_users,n_communities,avg_votes_per_user,median_votes_per_user,avg_votes_per_post,pct_users_ge_5_votes,pct_users_ge_10_votes,pct_users_ge_20_votes,pct_user_community_pairs_ge_5_votes,pct_user_community_pairs_ge_10_votes,pct_user_community_pairs_ge_20_votes,pct_label_approve,pct_label_remove
windows/full/w100,total,59098,5175,1967,22,30.044738179969496,18.0,11.419903381642513,1.0,1.0,0.4544992374173869,0.5215906808596104,0.352078730668809,0.14420566378790922,0.8628019323671497,0.13719806763285025
windows/intersection/w020,train,7064,612,1710,12,4.130994152046783,3.0,11.542483660130719,0.260233918128655,0.07953216374269007,0.018128654970760234,0.14239612747075434,0.04154901169826543,0.00927793465106898,0.8643790849673203,0.13562091503267973
windows/intersection/w020,val,11478,1020,1851,13,6.2009724473257695,4.0,11.25294117647059,0.42247433819556995,0.1582928146947596,0.046461372231226365,0.21285140562248997,0.0749665327978581,0.02208835341365462,0.8568627450980392,0.14313725490196078
windows/intersection/w020,test,11677,1020,1858,13,6.2847147470398275,4.0,11.448039215686274,0.4461786867599569,0.15285252960172227,0.04682454251883746,0.22881921280853904,0.07204803202134756,0.022014676450967312,0.865686274509804,0.13431372549019607
windows/intersection/w020,total,30219,2652,1902,13,15.88801261829653,10.0,11.394796380090497,0.9332281808622502,0.5299684542586751,0.20504731861198738,0.4599749058971142,0.2040150564617315,0.0740276035131744,0.8619909502262444,0.13800904977375567
windows/intersection/w040,train,14002,1225,1866,13,7.503751339764202,5.0,11.430204081632652,0.5342979635584137,0.20739549839228297,0.06162915326902465,0.2673015873015873,0.09587301587301587,0.02857142857142857,0.8579591836734693,0.14204081632653062
windows/intersection/w040,val,11478,1020,1851,13,6.2009724473257695,4.0,11.25294117647059,0.42247433819556995,0.1582928146947596,0.046461372231226365,0.21285140562248997,0.0749665327978581,0.02208835341365462,0.8568627450980392,0.14313725490196078
windows/intersection/w040,test,11677,1020,1858,13,6.2847147470398275,4.0,11.448039215686274,0.4461786867599569,0.15285252960172227,0.04682454251883746,0.22881921280853904,0.07204803202134756,0.022014676450967312,0.865686274509804,0.13431372549019607
windows/intersection/w040,total,37157,3265,1902,13,19.535751840168246,12.0,11.380398162327719,0.9826498422712934,0.6640378548895899,0.27392218717139855,0.5027650877614811,0.25174320750180335,0.09858138975715316,0.860030627871363,0.13996937212863705
windows/intersection/w060,train,21208,1838,1902,13,11.15036803364879,7.0,11.538628944504897,0.7628811777076762,0.33859095688748686,0.12039957939011567,0.37542087542087543,0.14702581369248036,0.05134680134680135,0.8607181719260065,0.13928182807399347
windows/intersection/w060,val,11478,1020,1851,13,6.2009724473257695,4.0,11.25294117647059,0.42247433819556995,0.1582928146947596,0.046461372231226365,0.21285140562248997,0.0749665327978581,0.02208835341365462,0.8568627450980392,0.14313725490196078
windows/intersection/w060,test,11677,1020,1858,13,6.2847147470398275,4.0,11.448039215686274,0.4461786867599569,0.15285252960172227,0.04682454251883746,0.22881921280853904,0.07204803202134756,0.022014676450967312,0.865686274509804,0.13431372549019607
windows/intersection/w060,total,44363,3878,1902,13,23.32439537329127,14.0,11.439659618359979,0.998422712933754,0.7781282860147214,0.3380651945320715,0.531373003009956,0.29983792544570503,0.11970363510071776,0.8610108303249098,0.13898916967509026
windows/intersection/w080,train,27975,2451,1902,13,14.70820189274448,9.0,11.413708690330477,0.9022082018927445,0.46740273396424814,0.1829652996845426,0.44395203336809175,0.1895203336809176,0.07012513034410844,0.8620971032231742,0.1379028967768258
windows/intersection/w080,val,11478,1020,1851,13,6.2009724473257695,4.0,11.25294117647059,0.42247433819556995,0.1582928146947596,0.046461372231226365,0.21285140562248997,0.0749665327978581,0.02208835341365462,0.8568627450980392,0.14313725490196078
